Videos_Title,Videos_Thumbnail,Videos_URL,Videos_Viewcount,Videos_Uploaded
Close Love Mashup | HT Music | Arijit Singh | Bollywood Love Songs 2023 |,https://i.ytimg.com/vi/sfHNcp26vws/hqdefault.jpg,https://www.youtube.com/watch?v=sfHNcp26vws,58K views,1 day ago
Feel The Vibes | HT Music | Arijit Singh Songs | Best of Arijit Singh 2023 | Bollywood Love Songs,https://i.ytimg.com/vi/qgN1L95njA8/hqdefault.jpg,https://www.youtube.com/watch?v=qgN1L95njA8,445K views,3 days ago
Love Reaction Mashup | HT Music | Arijit Singh | Alia Bhatt | Romantic Love songs 2023 |,https://i.ytimg.com/vi/XCGpg6BwrRE/hqdefault.jpg,https://www.youtube.com/watch?v=XCGpg6BwrRE,64K views,8 days ago
"90's SRK Romance Mashup | HT Music | Shah Rukh Khan, Kajol, Rani M, Madhuri, Preity, | Best of SRK",https://i.ytimg.com/vi/vtjbzZubFRg/hqdefault.jpg,https://www.youtube.com/watch?v=vtjbzZubFRg,362K views,2 weeks ago
Feels of love Vibes | HT Music | Arijit Singh Songs |Best of Arijit Singh 2023| Bollywood Love Songs,https://i.ytimg.com/vi/VXnCTkQt50o/hqdefault.jpg,https://www.youtube.com/watch?v=VXnCTkQt50o,2.5M views,2 weeks ago
"Signature's Love Mashup | HT Music | Arijit Singh, Rahat Fateh Ali Khan | Bollywood Love Songs",https://i.ytimg.com/vi/bWl-xhszA_s/hqdefault.jpg,https://www.youtube.com/watch?v=bWl-xhszA_s,103K views,3 weeks ago
Moments of Love Jukebox | HT Music | Arijit Singh Songs | Arijit Singh Jukebox’s|Best songs of 2023,https://i.ytimg.com/vi/gGx5KRirets/hqdefault.jpg,https://www.youtube.com/watch?v=gGx5KRirets,2M views,3 weeks ago
Love Story Mashup - HT Music | Arijit Singh | Best Songs of Arijit Singh | Romantic Love songs 2023,https://i.ytimg.com/vi/409k61qY4DI/hqdefault.jpg,https://www.youtube.com/watch?v=409k61qY4DI,123K views,4 weeks ago
Nature’s love Mashup - HT Music | Arijit Singh | Romantic Love Songs 2023,https://i.ytimg.com/vi/1nHeHrq23vs/hqdefault.jpg,https://www.youtube.com/watch?v=1nHeHrq23vs,258K views,1 month ago
Shades of love Mashup - HT Music | Arijit Singh | Arijit Singh songs | Romantic love songs 2023,https://i.ytimg.com/vi/gA4A-AswnLA/hqdefault.jpg,https://www.youtube.com/watch?v=gA4A-AswnLA,280K views,1 month ago
