Videos_Title,Videos_Thumbnail,Videos_URL,Videos_Viewcount,Videos_Uploaded
Launching FREE Batch for Class 12t @PW-ArtsWallah  | NEW Channel | Check Description,https://i.ytimg.com/vi/v22z2ixxN1c/hqdefault.jpg,https://www.youtube.com/watch?v=v22z2ixxN1c,7.2K views,8 hours ago
Launching FREE Batch for Class 9th @Class9th-NEEV  | NEW Channel | Check Description,https://i.ytimg.com/vi/MksUgxuA8L4/hqdefault.jpg,https://www.youtube.com/watch?v=MksUgxuA8L4,69K views,1 day ago
Launching FREE Batch for Class 10th @Class10th-UDAAN  | NEW Channel | Check Description.,https://i.ytimg.com/vi/3TL4-e3z7CA/hqdefault.jpg,https://www.youtube.com/watch?v=3TL4-e3z7CA,109K views,2 days ago
MEGA MOCK TEST Series is LIVE Now 🔴|| For Class-9th & 10th Students @free,https://i.ytimg.com/vi/U09HORTeaB8/hqdefault.jpg,https://www.youtube.com/watch?v=U09HORTeaB8,52K views,8 days ago
ALERT 🚨 : OLYMPIAD EXAM Registration Open for 2023-2024 | Step by Step Procedure | NSO | IMO | SOF,https://i.ytimg.com/vi/eazPrtheE14/hqdefault.jpg,https://www.youtube.com/watch?v=eazPrtheE14,22K views,11 days ago
Offer Ending Soon 🤯 | Only Few Hours Left | #SapneDekhneKiAzaadi 🔥,https://i.ytimg.com/vi/luqdZrYnFOM/hqdefault.jpg,https://www.youtube.com/watch?v=luqdZrYnFOM,17K views,2 weeks ago
Upto 35% Off On All PW Batches 🔥 | Only 1 Day Left 🤯 #SapneDekhneKiAzaadi,https://i.ytimg.com/vi/YiBqvPi8Q1I/hqdefault.jpg,https://www.youtube.com/watch?v=YiBqvPi8Q1I,13K views,2 weeks ago
Happy 77th Independence Day 🇮🇳 | Check the Offers Now 🔥 #SapneDekhneKiAzaadi,https://i.ytimg.com/vi/mw9mLdN6ssA/hqdefault.jpg,https://www.youtube.com/watch?v=mw9mLdN6ssA,44K views,2 weeks ago
ARTS की दुनिया की PAHAL 🔥 || Launching Class 11th ARTS BATCH,https://i.ytimg.com/vi/LuTONVLzESM/hqdefault.jpg,https://www.youtube.com/watch?v=LuTONVLzESM,24K views,1 month ago
Something Big Coming Soon For Class - 9th & 10th Students 🔥 || Stay Tuned For More Updates 🖋️,https://i.ytimg.com/vi/KWXKegvNa-I/hqdefault.jpg,https://www.youtube.com/watch?v=KWXKegvNa-I,44K views,1 month ago
